metric,value
archive_role,train_with_gt
downloaded_bytes,14836495703
md5_verified,true
member_count,6755
duplicate_content_files,0
total_extracted_bytes,15102119170
case_count,1351
complete_cases,1351
valid_cases,1351
label_set,0|1|2|3
voxels_label0,11936682074
voxels_label1,18090256
voxels_label2,78847949
voxels_label3,28107721
cases_ET_nonempty,1318
cases_TC_nonempty,1345
cases_WT_nonempty,1351
missing_ET,33
missing_TC,6
missing_WT,0
empty_mask,0
anomalies_total,0
cohort,UNKNOWN
