subset,nsd_tolerance,component,baseline_C0,candidate_M8,delta,n_common_support
development_folds_0_2,1.0,ET_DSC,0.862665925,0.864667910,+0.002001985,806
development_folds_0_2,1.0,TC_DSC,0.916733992,0.918590475,+0.001856483,806
development_folds_0_2,1.0,WT_DSC,0.927778576,0.929696171,+0.001917594,806
development_folds_0_2,1.0,ET_NSD,0.893911207,0.896031181,+0.002119973,806
development_folds_0_2,1.0,TC_NSD,0.876474418,0.880152535,+0.003678117,806
development_folds_0_2,1.0,WT_NSD,0.865186857,0.868806651,+0.003619794,806
development_folds_0_2,0.5,ET_DSC,0.862665925,0.864667910,+0.002001985,806
development_folds_0_2,0.5,TC_DSC,0.916733992,0.918590475,+0.001856483,806
development_folds_0_2,0.5,WT_DSC,0.927778576,0.929696171,+0.001917594,806
development_folds_0_2,0.5,ET_NSD,0.650468372,0.655845369,+0.005376997,806
development_folds_0_2,0.5,TC_NSD,0.616658693,0.623215011,+0.006556318,806
development_folds_0_2,0.5,WT_NSD,0.568015570,0.575312866,+0.007297296,806
policy_selection_holdout_folds_3_4,1.0,ET_DSC,0.863684222,0.864145411,+0.000461189,538
policy_selection_holdout_folds_3_4,1.0,TC_DSC,0.912545085,0.913422804,+0.000877719,538
policy_selection_holdout_folds_3_4,1.0,WT_DSC,0.925596203,0.925685017,+0.000088814,538
policy_selection_holdout_folds_3_4,1.0,ET_NSD,0.890061005,0.890349015,+0.000288010,538
policy_selection_holdout_folds_3_4,1.0,TC_NSD,0.872496515,0.873683879,+0.001187364,538
policy_selection_holdout_folds_3_4,1.0,WT_NSD,0.860108475,0.861560702,+0.001452227,538
policy_selection_holdout_folds_3_4,0.5,ET_DSC,0.863684222,0.864145411,+0.000461189,538
policy_selection_holdout_folds_3_4,0.5,TC_DSC,0.912545085,0.913422804,+0.000877719,538
policy_selection_holdout_folds_3_4,0.5,WT_DSC,0.925596203,0.925685017,+0.000088814,538
policy_selection_holdout_folds_3_4,0.5,ET_NSD,0.644482142,0.647926295,+0.003444153,538
policy_selection_holdout_folds_3_4,0.5,TC_NSD,0.608462257,0.612769210,+0.004306953,538
policy_selection_holdout_folds_3_4,0.5,WT_NSD,0.562635790,0.568297323,+0.005661532,538
pooled_all_folds,1.0,ET_DSC,0.863073547,0.864458755,+0.001385208,1344
pooled_all_folds,1.0,TC_DSC,0.915057182,0.916521869,+0.001464686,1344
pooled_all_folds,1.0,WT_DSC,0.926904977,0.928090515,+0.001185538,1344
pooled_all_folds,1.0,ET_NSD,0.892369980,0.893756623,+0.001386643,1344
pooled_all_folds,1.0,TC_NSD,0.874882073,0.877563147,+0.002681075,1344
pooled_all_folds,1.0,WT_NSD,0.863153993,0.865906115,+0.002752122,1344
pooled_all_folds,0.5,ET_DSC,0.863073547,0.864458755,+0.001385208,1344
pooled_all_folds,0.5,TC_DSC,0.915057182,0.916521869,+0.001464686,1344
pooled_all_folds,0.5,WT_DSC,0.926904977,0.928090515,+0.001185538,1344
pooled_all_folds,0.5,ET_NSD,0.648072098,0.652675383,+0.004603284,1344
pooled_all_folds,0.5,TC_NSD,0.613377679,0.619033582,+0.005655903,1344
pooled_all_folds,0.5,WT_NSD,0.565862057,0.572504561,+0.006642504,1344
